episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes
manual_arc_20260708_024944,76,13.316667,1783475384.954229,1.566113,-0.000492,0.0,-0.000181,0.3,0.0,0.299838,0.000174,camera_link,13.316667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,77,13.333334,1783475384.955414,1.571104,-0.000492,0.0,-0.000182,0.3,0.0,0.299838,0.000174,camera_link,13.333334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,78,13.350001,1783475384.962687,1.576095,-0.000493,0.0,-0.000182,0.3,0.0,0.299853,9.1e-05,camera_link,13.350001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,79,13.366667,1783475384.964144,1.581086,-0.000494,0.0,-0.000182,0.3,0.0,0.299853,9.1e-05,camera_link,13.366667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,80,13.383334,1783475384.965379,1.586077,-0.000495,-0.0,-0.000182,0.3,0.0,0.299853,9.1e-05,camera_link,13.383334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,81,13.400001,1783475384.973459,1.591069,-0.000496,0.0,-0.000183,0.3,0.0,0.2998,0.001987,camera_link,13.400001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,82,13.416667,1783475384.974998,1.59606,-0.000497,-0.0,-0.000182,0.3,0.0,0.2998,0.001987,camera_link,13.416667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,83,13.433334,1783475384.976254,1.601051,-0.000498,-0.0,-0.000182,0.3,0.0,0.2998,0.001987,camera_link,13.433334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,84,13.450001,1783475384.982744,1.606043,-0.000499,0.0,-0.000182,0.3,0.0,0.299858,-0.000189,camera_link,13.450001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,85,13.466667,1783475384.984218,1.611034,-0.0005,0.0,-0.000182,0.3,0.0,0.299858,-0.000189,camera_link,13.466667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,86,13.483334,1783475384.986368,1.616026,-0.0005,-0.0,-0.000182,0.3,0.0,0.299858,-0.000189,camera_link,13.483334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,87,13.500001,1783475384.995469,1.621017,-0.000501,-0.0,-0.000182,0.3,0.0,0.299829,-8.1e-05,camera_link,13.500001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,88,13.516667,1783475384.997778,1.626008,-0.000503,1e-06,-0.000184,0.3,0.0,0.299829,-8.1e-05,camera_link,13.516667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,89,13.533334,1783475384.99992,1.630998,-0.000504,-0.0,-0.000183,0.3,0.0,0.299829,-8.1e-05,camera_link,13.533334,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,90,13.550001,1783475385.008544,1.635989,-0.000505,0.0,-0.000183,0.3,0.0,0.29983,-0.000144,camera_link,13.550001,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,91,13.566667,1783475385.010888,1.640981,-0.000505,0.0,-0.000183,0.3,0.0,0.29983,-0.000144,camera_link,13.566667,manual_cmd_vel,,nominal,
manual_arc_20260708_024944,92,13.583334,1783475385.012381,1.645972,-0.000506,0.0,-0.000183,0.3,0.0,0.29983,-0.000144,camera_link,13.583334,manual_cmd_vel,,nominal,
