episode_id,step_idx,sim_time,wall_time,robot_position_x,robot_position_y,robot_position_z,robot_yaw,linear_velocity_cmd,angular_velocity_cmd,odom_linear_velocity,odom_angular_velocity,camera_frame_id,image_timestamp,policy_mode,stop_signal,safety_state,notes,shadow_gnm_enabled,shadow_gnm_status,shadow_gnm_model_path,shadow_gnm_latency_ms,shadow_gnm_candidate_linear_velocity,shadow_gnm_candidate_angular_velocity,shadow_gnm_candidate_waypoint_x,shadow_gnm_candidate_waypoint_y,shadow_gnm_goal_distance,shadow_gnm_confidence,shadow_gnm_error,actual_controller,actual_linear_velocity_cmd,actual_angular_velocity_cmd,gnm_control_enabled,gnm_action_raw_linear_velocity,gnm_action_raw_angular_velocity,gnm_action_clipped_linear_velocity,gnm_action_clipped_angular_velocity,action_clipped,watchdog_state,emergency_stop_triggered,stop_reason
gnm_closed_loop_20260708_031730,350,19.050001,1783477056.643278,2.353598,-0.001602,-0.0,-0.002113,0.2,-0.066912,0.199821,0.004977,camera_link,19.050001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,24.02,0.3,-0.0669,0.6314,-0.0423,16.48,,,gnm_closed_loop,0.2,-0.066912,True,0.3,-0.066912,0.2,-0.066912,True,armed,False,
gnm_closed_loop_20260708_031730,351,19.066668,1783477056.664257,2.356922,-0.001609,-0.0,-0.00212,0.2,-0.067159,0.199859,0.005157,camera_link,19.066668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.02,0.3,-0.0672,0.6309,-0.0424,16.47,,,gnm_closed_loop,0.2,-0.067159,True,0.3,-0.067159,0.2,-0.067159,True,armed,False,
gnm_closed_loop_20260708_031730,352,19.083334,1783477056.66665,2.360245,-0.001616,-0.0,-0.002125,0.2,-0.067159,0.199859,0.005157,camera_link,19.083334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.02,0.3,-0.0672,0.6309,-0.0424,16.47,,,gnm_closed_loop,0.2,-0.067159,True,0.3,-0.067159,0.2,-0.067159,True,armed,False,
gnm_closed_loop_20260708_031730,353,19.100001,1783477056.668517,2.363569,-0.001623,-0.0,-0.002132,0.2,-0.067159,0.199859,0.005157,camera_link,19.100001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.02,0.3,-0.0672,0.6309,-0.0424,16.47,,,gnm_closed_loop,0.2,-0.067159,True,0.3,-0.067159,0.2,-0.067159,True,armed,False,
gnm_closed_loop_20260708_031730,354,19.116668,1783477056.696517,2.366892,-0.00163,0.0,-0.002138,0.2,-0.066961,0.199731,0.004897,camera_link,19.116668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,14.54,0.3,-0.067,0.6307,-0.0423,16.45,,,gnm_closed_loop,0.2,-0.066961,True,0.3,-0.066961,0.2,-0.066961,True,armed,False,
gnm_closed_loop_20260708_031730,355,19.133334,1783477056.699013,2.370216,-0.001637,-0.0,-0.002144,0.2,-0.066961,0.199731,0.004897,camera_link,19.133334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,14.54,0.3,-0.067,0.6307,-0.0423,16.45,,,gnm_closed_loop,0.2,-0.066961,True,0.3,-0.066961,0.2,-0.066961,True,armed,False,
gnm_closed_loop_20260708_031730,356,19.150001,1783477056.700999,2.37354,-0.001644,-0.0,-0.002151,0.2,-0.066961,0.199731,0.004897,camera_link,19.150001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,14.54,0.3,-0.067,0.6307,-0.0423,16.45,,,gnm_closed_loop,0.2,-0.066961,True,0.3,-0.066961,0.2,-0.066961,True,armed,False,
gnm_closed_loop_20260708_031730,357,19.166668,1783477056.723423,2.376863,-0.001651,-0.0,-0.002157,0.2,-0.066987,0.199817,0.00492,camera_link,19.166668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.03,0.3,-0.067,0.6309,-0.0423,16.46,,,gnm_closed_loop,0.2,-0.066987,True,0.3,-0.066987,0.2,-0.066987,True,armed,False,
gnm_closed_loop_20260708_031730,358,19.183334,1783477056.725799,2.380187,-0.001658,-0.0,-0.002164,0.2,-0.066987,0.199817,0.00492,camera_link,19.183334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.03,0.3,-0.067,0.6309,-0.0423,16.46,,,gnm_closed_loop,0.2,-0.066987,True,0.3,-0.066987,0.2,-0.066987,True,armed,False,
gnm_closed_loop_20260708_031730,359,19.200001,1783477056.728404,2.38351,-0.001665,-0.0,-0.00217,0.2,-0.066987,0.199817,0.00492,camera_link,19.200001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.03,0.3,-0.067,0.6309,-0.0423,16.46,,,gnm_closed_loop,0.2,-0.066987,True,0.3,-0.066987,0.2,-0.066987,True,armed,False,
gnm_closed_loop_20260708_031730,360,19.216668,1783477056.750491,2.386834,-0.001672,-0.0,-0.002176,0.2,-0.066669,0.199836,0.005226,camera_link,19.216668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.21,0.3,-0.0667,0.6307,-0.0421,16.46,,,gnm_closed_loop,0.2,-0.066669,True,0.3,-0.066669,0.2,-0.066669,True,armed,False,
gnm_closed_loop_20260708_031730,361,19.233334,1783477056.753166,2.390157,-0.001679,-0.0,-0.002183,0.2,-0.066669,0.199836,0.005226,camera_link,19.233334,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.21,0.3,-0.0667,0.6307,-0.0421,16.46,,,gnm_closed_loop,0.2,-0.066669,True,0.3,-0.066669,0.2,-0.066669,True,armed,False,
gnm_closed_loop_20260708_031730,362,19.250001,1783477056.755013,2.39348,-0.001686,-0.0,-0.002189,0.2,-0.066669,0.199836,0.005226,camera_link,19.250001,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,12.21,0.3,-0.0667,0.6307,-0.0421,16.46,,,gnm_closed_loop,0.2,-0.066669,True,0.3,-0.066669,0.2,-0.066669,True,armed,False,
gnm_closed_loop_20260708_031730,363,19.266668,1783477056.780915,2.396803,-0.001693,-0.0,-0.002196,0.2,-0.066371,0.199834,0.00519,camera_link,19.266668,gnm_closed_loop,,nominal,,True,ok,third_party/visualnav-transformer/model_weights/gnm/gnm.pth,14.31,0.3,-0.0664,0.6308,-0.0419,16.46,,,gnm_closed_loop,0.2,-0.066371,True,0.3,-0.066371,0.2,-0.066371,True,armed,False,
