metric,view_i,split_i,view_j,split_j,pair_class,similarity
ssim,h8m_recep_desk_multiobj__goalB,train,h8m_side_corridor__goalB,val,cross_split,0.5206
dino_cosine,h8m_recep_desk_multiobj__goalB,train,h8m_waiting_seating__goalA,train,within_split,0.46
ahash,h8m_recep_desk_multiobj__goalB,train,h8m_waiting_seating__goalA,train,within_split,0.7383
ssim,h8m_recep_desk_multiobj__goalB,train,h8m_waiting_seating__goalA,train,within_split,0.531
dino_cosine,h8m_recep_desk_multiobj__goalB,train,h8m_waiting_seating__goalB,train,within_split,0.4695
ahash,h8m_recep_desk_multiobj__goalB,train,h8m_waiting_seating__goalB,train,within_split,0.6719
ssim,h8m_recep_desk_multiobj__goalB,train,h8m_waiting_seating__goalB,train,within_split,0.5504
dino_cosine,h8m_recep_desk_multiobj__goalB,train,h8m_lobby_vending_nearfar__goalA,train,within_split,0.7835
ahash,h8m_recep_desk_multiobj__goalB,train,h8m_lobby_vending_nearfar__goalA,train,within_split,0.6758
ssim,h8m_recep_desk_multiobj__goalB,train,h8m_lobby_vending_nearfar__goalA,train,within_split,0.5063
dino_cosine,h8m_recep_desk_multiobj__goalB,train,h8m_lobby_vending_nearfar__goalB,train,within_split,0.8654
ahash,h8m_recep_desk_multiobj__goalB,train,h8m_lobby_vending_nearfar__goalB,train,within_split,0.6328
ssim,h8m_recep_desk_multiobj__goalB,train,h8m_lobby_vending_nearfar__goalB,train,within_split,0.4954
dino_cosine,h8m_recep_desk_multiobj__goalB,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.8543
ahash,h8m_recep_desk_multiobj__goalB,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.6523
ssim,h8m_recep_desk_multiobj__goalB,train,h8m_east_vending_nearfar__goalA,val,cross_split,0.5016
dino_cosine,h8m_recep_desk_multiobj__goalB,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.8446
ahash,h8m_recep_desk_multiobj__goalB,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.6445
ssim,h8m_recep_desk_multiobj__goalB,train,h8m_east_vending_nearfar__goalB,val,cross_split,0.5249
dino_cosine,h8m_recep_desk_multiobj__goalB,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.7676
ahash,h8m_recep_desk_multiobj__goalB,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.6562
ssim,h8m_recep_desk_multiobj__goalB,train,h8m_lookalike_confuser__goalA,hard_negative,cross_split,0.4566
dino_cosine,h8m_recep_desk_multiobj__goalB,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.4906
ahash,h8m_recep_desk_multiobj__goalB,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.3828
ssim,h8m_recep_desk_multiobj__goalB,train,h8m_lookalike_confuser__goalB,hard_negative,cross_split,0.5486
dino_cosine,h8m_recep_desk_multiobj__goalB,train,placeholder_h2_weave_J,hard_negative,cross_split,0.4773
ahash,h8m_recep_desk_multiobj__goalB,train,placeholder_h2_weave_J,hard_negative,cross_split,0.3516
